url,name,price,rating,number_of_reviews,description,product_description,asin,manufacturer
/American-Tourister-Polycarbonate-FS3-004/dp/B084W559G8/,"American Tourister Georgia 3 Pc Set 55 cms + 69 cms+ 79 cms- Small, Medium & Large Polycarbonate (PC) Hard Sided 4 Spinner Wheels Trolley Bags (Midnight Blue)",9999,4.0,3603,"Buy American Tourister Georgia 3 Pc Set 55 cms + 69 cms+ 79 cms- Small, Medium & Large Polycarbonate (PC) Hard Sided 4 Spinner Wheels Trolley Bags (Midnight Blue) from Suitcases & Trolley Bags at Amazon.in. 30 days free exchange or return","The fashion conscious and on-trend American Tourister patron prefers to step-out in style no matter the occasion. Like all products from the brand, our luggage bags meet the highest quality standards for which American Tourister is known. This attention to detail is reflected in the positive feedback from our customers in 100+ countries. Want to make a statement as well as spruce up your fashion? Look no further than our latest collection Georgia Spinner. A premium PC luggage in rich colours - such that will make even the A-listers turn their heads! This Spinner allows you that extra packing space to accommodate your last-minute shopping.",B084W559G8, Samsonite
/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7,39,"Buy TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN) from Laptop Backpacks at Amazon.in. 30 days free exchange or return",,B0C6HZDWRQ,
/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),365,4.3,8409,Buy Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey) from Sports Duffles at Amazon.in. 30 days free exchange or return,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",B07XXFB9CZ, Sfane
/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,353,Buy Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/Women | 15.6 inch Laptop Bag | Spacious & Multiple Pockets (Sea Green) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,,B0C23Z9W18, Half_Moon
/WHITECRAFT-Polyester-Waterproof-Backpack-Business/dp/B0CJJQWK72/,WHITECRAFT Polyester 30 Liter Waterproof Backpack for Men & Women| Fits upto 12-17 Inch Laptop Bag | Travel/Business/College/Casual Daypacks,386,0.0,0,Buy WHITECRAFT Polyester 30 Liter Waterproof Backpack for Men & Women| Fits upto 12-17 Inch Laptop Bag | Travel/Business/College/Casual Daypacks (Black Grey) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,"Meet seek! WHITECRAFT is introducing one of its kind of an overnighter backpack. Made out of polyester, it has an exquisite look. There is a convey pack available like the one available in luggage. It has a capacity of 30 liters hence it is provided with load stabilizers on shoulder straps like the ones available in rucksacks. A perfect bag for leisure or an official trip of 2-3 days.",B0CJJQWK72,
/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7/,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif,1549,1099.0,4.3,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif : Amazon.in: Computers & Accessories,,B07NHYLTY7," Seaturtle Pvt. Ltd. Thakur Compound, 2nd Floor, 3, USV Lane, Deonar, Mumbai, Maharashtra 400088"
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW/,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black)",259,15909.0,4.3,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black) : Amazon.in: Home & Kitchen","Presto! Offers Oxo-Biodegradable Garbage Bags To Help You Maintain Cleanliness And Hygiene In Your House, Office And Surroundings. These Garbage Bags Make Clean-Up And Garbage Disposal A Hassle-Free Task While Being Easy On The Environment! Line Them Up In Your Bedroom Or Bathroom Dustbins Or Use Them To Segregate Dry And Wet Waste In The Kitchen. Effectively Clear Out Messy Trash Like Baby Diapers And Kitty Litter! Handy At Offices Or Hotels, TheyRe Useful For Getting Rid Of Leftover Party Plates And Garbage As Well. They Come With A Detachable Tie-Tape Which Lets You Neatly Tie Up The Bag, Making It Easier To Carry Out After Use. These Small-Sized Bags Easily Fit Any Small Dustbins. They Are Available In Black Colour In A Pack Of 6 Rolls, And Each Roll Contains 30 Bags For Your Convenience.",B0821PKWBW, Narendar Plastics Pvt.Ltd
/Corduroy-Reusable-Shopping-Washable-Shoulder/dp/B0BNX437F8/,PALAY® Tote Bags For Women Bag Corduroy Large Capacity Reusable Shopping Bag Washable Shoulder Bags HandBags for School Work Shopping Travel Daily Use Grocery,488,100.0,4.3,Buy PALAY® Tote Bags For Women Bag Corduroy Large Capacity Reusable Shopping Bag Washable Shoulder Bags HandBags for School Work Shopping Travel Daily Use Grocery from Totes at Amazon.in. 30 days free exchange or return,,B0BNX437F8, PALAY
/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,2612.0,3.8,Buy DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White from Laptop Backpacks at Amazon.in. 30 days free exchange or return,,B07GXYHFCY, Rushi Enterprise
/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,9382.0,4.3,Buy AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black) from Sports Duffles at Amazon.in. 30 days free exchange or return,,B07F2H25NP, Auxter
/Lavie-Womens-Closure-Satchel-Handbag_Chocolate/dp/B07DJ9Q1NY/,Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag,1599,4607.0,4.1,Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag : Amazon.in: Fashion,,B07DJ9Q1NY, Bagzone Lifestyle Pvt Ltd
/TRUE-Anti-Theft-combination-security-charging/dp/B0CJ8WTYFK/,"TRUE HUMAN® Emperor Anti-Theft Laptop Bag, Office bag, college bag With combination security lock and USB charging port(Hybrid)",650,0.0,0,"TRUE HUMAN® Emperor Anti-Theft Laptop Bag, Office bag, college bag With combination security lock and USB charging port(Hybrid) : Amazon.in: Computers & Accessories","Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money.",B0CJ8WTYFK,
/Purple-Tree-Canvas-Tote-Women/dp/B07PDYTXD7/,"The Purple Tree Canvas Tote Bag For Women - 1 Pc , women tote bag , canvas tote bag , printed tote bag , printed canvas tote bag , stylish bags for women TBAG00422",349,597.0,4.2,"Buy The Purple Tree Canvas Tote Bag For Women - 1 Pc , women tote bag , canvas tote bag , printed tote bag , printed canvas tote bag , stylish bags for women TBAG00422 from Totes at Amazon.in. 30 days free exchange or return",,B07PDYTXD7, the purple tree
/Nautica-Leatherette-Comfortable-Travelling-Suitable/dp/B0BQMQQJK4/,"Nautica Duffle Bag for Travel | Stylish Leatherette Luggage | Compact and Comfortable for Travelling | Suitable for Men's and Women's One Size (Black, 15 cms)",1299,76.0,4.2,"Buy Nautica Duffle Bag for Travel | Stylish Leatherette Luggage | Compact and Comfortable for Travelling | Suitable for Men's and Women's One Size (Black, 15 cms) from Travel Duffles at Amazon.in. 30 days free exchange or return",,B0BQMQQJK4, Brandzstorm India Marketing Pvt Ltd
/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964/,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,1397.0,3.9,"Amazon.in: Buy ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Teal) online at low price in India on Amazon.in. Check out ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Teal) reviews, ratings, features, specifications and more at Amazon.in",,B09TPVD964, ADISA
/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07C9XHZT1/,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"1,749",4.4,9469,Buy KILLER Louis 38L Large Laptop Backpack with 3 Compartments Black Polyester Trendy Waterproof Travel Backpack from Laptop Backpacks at Amazon.in. 30 days free exchange or return,"Stylish and Durable Spacious Laptop Backpack for Travel Killer LOUIS 15.6 inch laptop backpack is made of High grade water resistance PU coated polyester material that gives it strength and makes it durable for long-term use. It features 3 large well padded zippered compartments and One large easy access front pocket. Well padded laptop section fits upto 15.6 inch laptop, middle compartment is big enough to hold your office or weekend trip cloths or daily use belongings, front compartment with organizer section is to keep all official documents and small electronic gadgets, you can use it to store the charger, mouse, pen drive, notepad, pen and other essentials it also has one front zippered pockets for easy access items,. Killer LOUIS backpack features two mesh side pockets, where you can keep your water bottle or any other item for an quick access. Waterproof large Laptop Backpack Bag. Killer LOUIS laptop backpack is perfect laptop bag for you, its cushioned laptop pocket keep your laptop securely tight and protected while you are on the move. This laptop bag pack suits your style & is very comfortable to carry, its ergonomics and makes you forget the load you are carrying, well-padded shoulder straps ease the carrying Outer Fabric: Durable PU coated Linen Polyester Fabric. Compartments & Pockets: 3 main compartment, One front Pocket, Two side mesh pockets. Compatible laptop Size: Upto 15.6 inches. Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD).",B07C9XHZT1, KILLER
/Skybags-Trooper-Polycarbonate-Hardsided-Luggage/dp/B09JYT5KDW/,Skybags Trooper 55 Cms Small Cabin Polycarbonate Hard Sided 4 Spinner Wheels Luggage/Suitcase/Trolley Bag- Red and White,"2,699",4.2,19888,Buy Skybags Trooper 55 Cms Small Cabin Polycarbonate Hard Sided 4 Spinner Wheels Luggage/Suitcase/Trolley Bag- Red and White from Suitcases & Trolley Bags at Amazon.in. 30 days free exchange or return,This is a polycarbonate material printed luggage trolley from Skybags brand with a capacity of 31.2L and dimension as 38cmx21cmx55cm (LXWXH),B09JYT5KDW, VIP Industries Ltd
/ROZEN-Fabric-Travel-Luggage-Duffle/dp/B085QMBX8H/,"ROZEN Heavy Dutty Polyester Fabric Travel Duffle Bag (Sky Blue, 50 L, 22Inch)",628,3.9,2521,"Buy ROZEN Heavy Dutty Polyester Fabric Travel Duffle Bag (Sky Blue, 50 L, 22Inch) from Travel Duffles at Amazon.in. 30 days free exchange or return","Travel in style with a sophisticated duffle designed to hold all your essential items for an overnight trip, in-flight travel or an adventure trip . The Alive Travel Duffle with two Side Pockets is made from ultra-light yet strong PU coated fabric with a classic duffle design that makes it both sporty and sophisticated. This classic duffle has a U-shaped top zipper closure with double zipper pulls, a roomy main compartment with plenty of room for clothes, toiletries, and portable electronic devices, two zippered end pockets. Carry this duffel by the top handles or use the adjustable detachable strap with padded strap for comfortable shoulder carrying.",B085QMBX8H, ROZEN
